Name,Publication Date,Message,Reactions Count,LIKE,LABEL
Amelia Putri,07/15/2020 16:55:20,siap😂😂,29,25,0
Amelia Putri,07/16/2020 16:10:36,malu gx😢😢,34,33,0
Saya Ceuwee,07/17/2020 04:09:54,Kalian maib game apa nih,13,13,0
Syifa Aqila,07/18/2020 15:35:54,"kalian mau dapet uang tapi sambil rebahan?bisa kok,gampang bgt caranya kalian cuma tinggal download aplikasi cashzine trs abis itu masukin kode aku yg ini 13938683 trs kalian otomatis dapet koin 8000,enak bgt kan pdhl baru masukin kode doang udh dpt 8000 koin,nah cara nya jg gampang bgt kalian cma cukup scroll"" berita aja dpt koin,kalo koin kalian udh sampe 500.000 kalian dpt uang Rp.100.000 enak bgt kan cma scroll"" aja dpt uang.sekali"" manfaatin waktu buat nyari uang ya ga🙂bisa buat beli keperluan yg kalian pengenin",4,4,0
Jamalludin,07/19/2020 09:08:31,"Kalian terlalu sibuk dengan dunia masing² hingga Palestina yg di ganti menjadi Israel saja kalian tidak tau...🙏🏼Apakah kalian rela melihat negara pertama yang mengakui kedaulatan Indonesia itu di jajah dan di gantikan menjadi Israel...Apakah kalian rela melihat tempat tinggal para nabi hilang di peta dunia.Apakah kalian rela melihat kiblat pertama di ganti dengan Israel....Kalian terlalu sibuk dengan dunia kalian, sibuk dengan percintaan kalian...Sibuk dengan semua yg tidak penting dan tidak pernah sama sekali mendoakan negara Islam ini",25,1,0
Muhamad Juanda,07/19/2020 11:08:44,Iyhh ngga🙃,12,12,0
Amanda Salsabila,07/19/2020 11:08:57,"khusus yang enak enak,yang masih sekolah jan liat ya sayang🥰",0,0,1
Jamalludin,07/20/2020 09:32:33,Apa ini yg dinamakan Keadilan sosial bagi seluruh rakyat Indonesia🌹😊.,16,1,1
Robi Irawan,07/21/2020 03:45:49,Ayo di coba guys😁,24,24,0
Aldi Adelio,07/22/2020 04:59:11,Open tattoo Untuk wilayah jakarta selatan dan sekitar nya ?House31 Whatsapp 081574226742 / 081353831190,3,3,0
Acil Ghibah,07/22/2020 16:57:27,pernah semua saya minum tapi hanya 1 yg blom dan tdk beranika minumki😂😁,10,10,0
Dryy,07/22/2020 16:57:30,"Ouh jadi ini yang lagi viral😂, memang sangat2 kontol",1,1,1
Bayy,07/26/2020 02:49:40,"TOLONG ADMIN grup  hapus postingan ini, LINK TIPU TIPU JANGAN DI PENCET DI GOBLOG GOBLOKIN LU SEMUA",19,19,1
Najma Nisa Ardany,07/26/2020 05:18:27,Judul nya ap sh ini lagu asli ngakak w njir😂😂😂jangn lupa like&flow (kotak masuk),1,0,0
Iqbal Asp,07/26/2020 18:46:31,"Pengen de pacaran ama yang baca 😊,baca nya aja dalam hati ❤apa lagi cinta nya mungkin dari dasar hati❣ ye kan#abisbaca chay aku ye😁",4,4,0
Jamalludin,08/03/2020 04:03:27,Mampus lo bijiya kena😂🤣.,20,18,1
Adjie Putra,08/08/2020 03:07:37,https://youtu.be/8lcGd4XbtJc,2,2,0
Ren Tamvann,08/10/2020 09:46:20,"Masih Angett euyy, Spam P nanti kukirim video nya[Join]  https://rentry.co/joinnow18",2,2,0
Rizqi,08/14/2020 23:40:51,sekedar info. ini syarat mendapatkan subsidi 600 rb buat pegawai gaji di bawah 5jt. jadi simak video nya kalian gak perlu pergi ke kantor bpjs.,2,2,0
Reza,08/17/2020 03:50:46,oh:/AccMin,28,28,0
Thrift,08/23/2020 15:25:44,Rp25.128 -66% | NEW !! Bunga Flower Store : Buket Bunga Sakura SA-092-  Termasuk Vas - Pajangan Bunga - Bunga Plastik- Bunga Hias - Bunga Artifisial - Tanaman Hias - Souvenir Bunga - Dekorasi Rumah- Furniture - | ,0,0,0
Njuhh Ollayy,08/25/2020 15:16:46,Watsaps Ngentod😁,16,16,1
Jamalludin,08/27/2020 15:51:09,Hehe 1th🌹😄🙏#izin_fost🙏,5,5,0
Heyy Tayoo,08/27/2020 15:51:19,Lagi bete ngk ad yang chat.Temenin aku chat/vc yukWa 089512055294#butuhyangserius,13,13,0
Len Bang Jago,08/30/2020 15:29:22,Baca tu anjing. Gx usah nyakitin laki² kaloUkuran Kotang masih.... S..... 😡😡🗡️,8,7,1
Xyzz Rii II,08/30/2020 15:29:26,D☆hmm,12,12,0
Dewi Olshopp,09/05/2020 05:21:44,Ya mau produk dari nasa atau kosultasi..Silahkan hubungi saya😊Mungpung aku lagi adain potongan harga murah meriah..😍💣Yok inbok 😋Jangan sampai kehabiasan😘,1,1,0
Reff,09/05/2020 10:23:09,GBLOG NAPA POSTINGAN GW DIHAPUS!?!?!?!,2,2,1
Thrift,09/16/2020 05:26:38,https://s.lazada.co.id/s.1hGhI,3,3,0
Thrift,09/18/2020 05:27:44,https://s.lazada.co.id/s.1Pv2U,3,3,0
Kirito Zwei,09/26/2020 17:41:07,Wew teasernya bikin makin penasaran! Akhirnya mereka ketemu. Sakuya kenapa tuh? 😰 http://koomik.id/read-koomik-chapter/klik/944/9,0,0,0
Dewi Olshopp,09/30/2020 17:44:02,👇👇Sabun ersalin nasaTinggal pilih apa keluhan wajahmu sekarang👉Yg plek - pake yg hitam👉yg berjerawat - pake yg hijau acne👉yg pengen putih - pake yg kuning👉yg mau mengencangkan - pake yg biruBisa dipakai Cewek Cowok👫Info order wa.me/081224743120,4,4,0
Nisa,10/01/2020 10:33:24,Gabung 👉🏻 https://web.facebook.com/groups/270599284375290,0,0,0
Sitii,10/02/2020 16:17:16,IKUTI JUGA HLMANYA AA 😭#ACC.AA,1,1,0
Nrlta,10/08/2020 16:49:25,WhatsApp nya kk🤗,14,13,0
RahmAwati,10/08/2020 16:49:40,"Katnya ""keadilan sosial bagi seluruh takyat indonesia""  nyatanya yg berkeuntungan hanyalah orang yg mempunyai jabatan sedangkan kmi rakyat kecil tidak lernah kau perhatikan:(",4,4,1
알리사,10/10/2020 18:17:04,_Tak perlu ku sebut namanya semesta pun tahu bahwa aku mencintainya:)_,34,30,0
Kirito Zwei,01/26/2021 17:04:26,"Yuhuu semuaa!Saia ngadain Fan Art Challenge buat siapa aja!Mari berkreasi dengan membuat fan art dari karakter SHINOBI AFTERLIFEHADIAH TOTAL 1 JUTA dan masih banyak lagi nantinya 🤩🤩🤩 (semua berkesempatan menang lho karena yang dinilai bukan bagus gambarnya aja dan nggak ada voting!) 😉Yuk cekidot, tunggu apa lagi! Buruan bikin dan upload karya kalian 🥳🥳🥳Informasi lebih lanjut bisa dilihat di poster atau bisa DM akun IG @strider_shamir atau FB Shamir Yamin yaaa 😁👋#SHINOBIAFTERLIFE #SALFANARTCHALLENGE",0,0,0
Reina Hidayat,09/03/2018 16:17:01,"Salam satu hatii ,,Monggoh yg. Btuh mtor baru,, k nusantara sakti kutowinangun ajha,, mlyani pembelian motor honda cas/kredit dan cash tempo dg bunga 0%Da promo"" yg mnariikk jg,,,Dg Dp murah dan angsuran ringan ,, syrat mudah dan proses cepat,,Minat bsa hub saya 083814112815 jika",0,0,0
Reina Hidayat,09/04/2018 16:20:05,"Salam Satu HatiIngat Honda, Ingat NUSANTARA SAKTI KUTOWINANGUNayo guys pecinta HONDA buruan beli mumpung lgi ada promo, DP murah Angsuran ringan, proses cepat, syarat gampang hanya dengan KTP dan KK, untuk lebih jelas hubungi RINA 083814112815",0,0,0
Ika Aprilia,09/26/2018 15:51:14,Untuk yang serius kerja bisa menghubungi Ibu Ika (081578444218),0,0,0
Pramuji,10/02/2018 05:32:24,"#GRATIS/ TIDAK DIPUNGUT BIAYA #IJAZAH MENYUSUL BAGI YANG BARU LULUS#ADA MESS & TRAINING DIBUTUHKAN SEGERA !!1. Staff marketing ( Recept, Admin, Gudang,Sekretaris )2. Marketing karir3. Marketing executive4. Management marketing ( Assistant dan Manager )● PERSYARATAN :○ Pendidikan SMP,SMA,DIPLOMA,SARJANA semua jurusan○ Fc.Ijazah terakhir○ Fc.KTP○ Daftar riwayat hidup○ Pas foto berwarna 3x4 (2 lembar)○ Umur 16-30th○ Tidak terikat dengan lnstansi/Perusahan● FASILITAS :> Mess> Gaji 1,2 juta> Tidak di pungut biaya apapun> Non kontrak● PENEMPATAN :Office CV. PRAMUSINDO JAYA DEWATA JL.UNTUNG SUROPATI NO. 34 BANDUNG KUTOARJO PURWOREJO JATENGContact person SMS/WA : 085876223517"" Lamaran diantar langsung atau via pos expres. Setiap hari kerja senin-sabtu jam 09.00-14.00 wib ''",0,0,0
Ika Aprilia,10/05/2018 03:09:57,Bagi yang serius kerja bsa menghubungi ibu Ika 081578444218 (WA),0,0,0
Ika Aprilia,10/09/2018 14:36:58,"LOKER  daerah cimahi...RPM GROUP CODE. Bergerak bidang distributor dan market development...Butuh 25 org: Posisi: staf  kantor.  Supervisor. Team leader. Marketing no target. Ass manager dan Manager..Persyaratan:1. Foto copy ijazah terakhir2.Fc KTP atau surat ket.3. Fc. KK.4. CV.atau  daftar riwayat hidup5. Photo 4 x 6 , 2 lbr.6. Tidak sedang kuliah atau tdk sedang terikat kerja di tempat lain.Fasilitas...gaji harian. Bulanan ( Income training ).ada training gratis + dpt sertipikat..mess gratis 100%..klo minat...silakan lngsung antar berkas lamarannya..Alamat jl Jend H. Amir mahmud .komplek padasuka indah blok A110 cimahi. BandungHub Ika (WA)  081578444218🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽",0,1,0
Anif Setiawan,10/12/2018 08:23:08,Mbok ana sing butuh tenaga/kenek. Ngelas/pasang bajariangan / dagang . Nyong ia glm WA. 0895333828530,0,2,0
Reina Hidayat,10/21/2018 22:38:29,"Salam satu hatii ,,Promo d akhir blan ,, jngan smpe ktinggalan yaa,, buruan pilih motor barunya di NUSANTARA SAKTI KUTOWINANGUN,, mau cash/ kredit bisa,, Syrat mudah ,, proses pun cepat ,,Dp murah angsuran ringan ,,,Berkas bisa dkirim lwat WA loh,, Byar dp bisa dirumah saat barang datang ,,Dan 100% aman loh yaa,,Minat hub RINA 083814112815",0,0,0
Aisyah Resa,10/27/2018 10:47:03,"Mari bosku merapat,,,pusate kaos grosir,,Mau grosir siap,ecer pun harga bersahabat,,monggo silahkan,,,Welcome resell dan dropsipWa 082323289086",0,0,0
Reina Hidayat,12/01/2018 01:20:04,"Salam satu hatii,,Monggoh² dpilih ya motor barunya,, buat tahun baruann biar kelihatan kecee,,jngn psangan nya jha yg baruu😄😄Da proomo² mnariik jg loh di akhir tahunn...mau ces ato krediit bisa di deler NUSANTARA SAKTI Misim ujan ky gni gk usah bingung,order lwat WA jha jg bisa,jd gk perlu kluar rumah,,, barang nyampe 100% aman,,Persyaratan hanya fc ktp dan kk,,Mau di kepoin dulu jg boleeh,😁😁Respon 083814112815",0,0,0
Arnah Hafiz Maolana,12/02/2018 03:41:35,"Sepurone bosMbok ana sing butuh gerobag motor,,gari gawekna pintune tokDol 350 negoLok Gombong",0,0,0
Ika Aprilia,02/27/2019 01:20:14,"Loker PURBALINGGA#Hari ini melamar, Besok Langsung KERJA.Dibutuhkan :1.Tenaga marketing door to door (alat Healthy Glasses ,letron dan indosaver ), 2. Marketing karier , 3. Supervisor, 4. assten manager, 5. Manager.. 35 orang laki2 dan prempuan...minat hub Ibu Ika WA 081578444218 atau in boxFASILITAS : Mess Gratiss, Gajih harian, mingguan dan bulanan.(+Sertifikat,,)Syarat : 1. foto kopy ijazah terakhir: Min lulusan SMP, SMU/K, MA, DIPLOMA, S1 (Semua jurusan), usia min 16  th - 27 th.. 2. Foto kopy KTP, KK,3. Daftar riwayat hidup4. Photo 4x6 2 lbr.Antar berkas :langsung intervew ke:Jl Mayjen Sungkono no 287 Kalimanah (depan SMP 2 KALIMANAH) PURBALINGGA.Tidak ada dipungut biaya apapun (100% GRATIS)",0,0,0
Aisyah Resa,05/04/2019 21:53:01,"Leging griselda bahan katun gramasi,nyerep kringatSize xs 25rbS 26.000M 27.000L 28.000XL 29.000XXL 32.000ABG 37.000Junior 40.000 Wa 082323289086Lokasi SragenMonggo bisa kirim via expedisi jnt,JNE,pos,,,dkkSebelum pengiriman mulai over load",0,0,0
Diyo Saeyoangtika,08/14/2019 14:30:05,Monggo seng ajeng mesin rontok padi tresere 2jt5 ngatus saged nego barang gres.serius wa 083840128122 nopo inbok monggo.lok kebumen.,0,2,0
Nino Yakena,09/27/2019 13:28:57,"Le kan suami aku sebelum nikah buat tabungan bca sejak 2019 setelah bikin yaudah gk diapa2in lagi karna dulu rencana bikin mau kerja kekota untuk jaga2 aja tapi seminggu dikota dah gk betah dan dia udah lupa pin nya le, jadi aku mau coba buka pake aplikasi tapi susah bgt cuma muter aja gitu, mau pergi ke bank nya langsung jauh le perjlanan 2jam an karna kita tinggal diplosok le, reseh ama pepek kali",0,0,1
Bayu Abu Hammam,10/19/2019 14:28:04,"Mau nanya kira2 saldonya itu masih ada gk ya karna dah lama bgt,",0,0,0
Andri Ryhn,11/07/2019 09:36:49,"Kalo pake aplikasi nama aplikasinya apa le karna banyak banget di playstore dari MY BCA, BCA MOBILE, HALLO BCA, kalo login pake yang mana ya le?",0,0,0
Erma Dimavhirma,03/06/2020 01:51:11,"LOKER CEPAT!!!WALK IN INTERVIEW 10 Orang pertama Langsung di TerimaBuat penempatan posisi*Tenaga Pemasaran (tanpa target)*Staff Kantor (adm, gudang, invetory, supervisor dll)Penempatan di wilayah sumber cirebon MINAT Hub wa 085314176729Email. Cahayamandirigroup27gmail.comGRATISS !",0,0,0
Naafi,03/10/2020 12:05:25,"abstrak bet anjir wkwkwkwkwk, bandingn tubuh orang doang tapi…",0,0,1
Ma Barun,04/23/2020 12:41:55,Travel Trima carter mobil+sopirLuar kota Monggo menowo minat Hub/tlpn.081398776869,0,0,0
Ma Barun,04/23/2020 15:46:43,Jasa transportasi..Barun travel.Siap melayani carter mobil +driverLuar kota mana saja tujuan andaSing butuh langsung hub tlpn/wa.081398776869,0,0,0
Fari Panca Handoyo,05/04/2020 22:35:10,"biadab sekali ni orang ya🤗, nipu mulu udh goblogs banget",0,0,1
Ayaaw,05/13/2020 09:20:05,"GRUP TOXIC +62 INDONESIA PERATURAN : 1. SELALU BERBICARA SOPAN2. JAGA SIKAP3 (NO KASAR: KONTOL, ANJING). POSTING VIDEO PORNO ? KICK4. JANGAN SALING BULY SESAMA ANGGOTA:)TQ SALAM ADMIN✓TOXIC +62 INDONESIA",1,3,1
Aprilina Dwi Praptanti,09/14/2020 14:52:08,"INDONESIA GIVEAWAY - SENIN, 14 SEPTEMBER 2020",0,0,0
Novita Kristianii,09/22/2021 19:04:21,https://chat.whatsapp.com/HVplrsvkXZR1uvlPpPRu52,0,0,0
Aditya Irwan,11/16/2021 12:41:29,Goblok bgt ajg kang serpis yg pertama,3,5,1
Kaulo Alit,01/10/2022 11:04:26,Saksikan video YouTube kami thanks you,0,1,0
Kaulo Alit,01/13/2022 18:38:55,Breaking news Kabar Terbaru (DEMI KONTEN YOUTUBE)Seorang PEMUDA Nekat Memakan makanan Beracun demi konten YOUTUBEInfo Selengkapnya Link di bawah ini:https://youtu.be/gOT2697VY-A,0,1,0
Neng Ema,06/20/2022 01:12:14,SERU BANGET ADA PRE ONGKIR 🤩🥳🥰,0,0,0
Ryan Jebeh,07/06/2022 02:31:47,LINK VIRAL FORNO ANAK KECIL TT👇👇http://chat-group-bkp.neew22.my.id/DIJAMIN BIKIN NGILER🤤🤤,0,3,1
Renaldi Setyo,12/09/2023 05:32:15,Daily mini vlog eps 1 🙋‍♀️(tumis daun singkong) 👏😊#dailyminivlog #masakmasak,0,1,0
Natasya Tasya,01/11/2024 11:38:18,pengen yg serius hmmm ada ga yaa moga aja ada aku tunggu 085213485994DI TUUNGGU ya setia dan baik hati,1,0,0
Didi,06/21/2024 11:54:27,"meresehkan sekali, dasar otak monyet emng",0,1,1
Dinda Dindaa,02/27/2024 03:13:08,https://chat.whatsapp.com/I4NOB3ltQjTGP993YzkIPk,0,0,0
Dhion Saputra,01/10/2025 11:44:55,"iPhone 11 128GB iBoxHarga. RP. 3.000,000IMEI aman selamanyaFisik overall mulusFungsional semua normalFace id ONTruetone ONiCloud aman siap resetBattery Health 100% Kelengkapan fullsetPemakaian cewekNo WA :081244344395",0,0,0
卑劣な日向,11/17/2019 11:05:21,GET NUDE MOTHER FKER HAHAHAHAHAA,1,7,1
Santuy Broo,11/17/2019 11:41:19,w mohon ye.yg ikut grub ni tolong udang temen fb kalean ye ramein ni grub biar asik,0,7,0
Santuy Broo,11/17/2019 12:53:16,untuk para member2 niya w mohon udang temen fb kalianya biar tambah rame ni grb#open_andmin,0,9,0
Jayj Jayj,11/18/2019 01:49:34,IM CRAZY NOW U BETTER FCK OFF HAHAHAHA,0,9,1
Santuy Broo,11/18/2019 04:04:43,ni yg patkir goblokk apa gimana anjerr,3,14,1
Jayj Jayj,11/19/2019 06:49:06,"I GUESS ITS TIME FOR ME TO GO DEMON MODE, TRY RAP3 ME",0,0,1
Dimas,11/19/2019 06:49:12,https://youtu.be/9ySw51R8pVEsubs bjiiirr,0,1,0
Kang Sad,11/19/2019 09:18:41,Open admin gays buat 3 orang syarat-invit tmn sebanyak banyaknya-pm 20x perhari-ceue/couo-gak banci-bisa urus grup-gak ngompol-gak tolol-bisa gelud-bisa berubah jadi ultraman-bisa berubah jadi power rangers-Humorisdah itu aja......TTD ADMIN ➡MAMANG Mamang Thannos,8,10,1
Mbak Go-jek,11/19/2019 12:11:01,SALAM KENAL MBAK ANGGOTA BARU NIECH KALO MAU APA APA BILANG MBAK AJA OK 😘😘😘😘😘,31,20,0
Failang Failang Jr.,11/24/2019 15:05:06,goblok jir malah colay di kelas 🤣,0,12,1
Acid Zzs,01/22/2021 12:09:18,Untung aja hidung ku gak pesek😂,0,15,0
Napil Napilja,02/18/2021 08:36:40,Selamat memberi spasi untuk dirimu sendiri.📌mengenangyanghilang,0,1,0
Napil Napilja,02/18/2021 08:38:19,Kesempatan yang hilang.📌mengenangyanghilang,0,1,0
Napil Napilja,02/19/2021 09:34:10,Akhirnya seperti ini.📌mengenangyanghilang,0,1,0
Acid Zzs,03/02/2021 14:38:11,Banya kali cok🤧,0,4,0
Napil Napilja,03/02/2021 14:39:06,"Tiba-tiba berpisah,setelahnya saling lupa,kemudian berpura-pura tidak saling kenal.📌mood.cewekk",0,1,0
My Dear:',03/05/2021 03:41:05,D mna wey😄,0,9,0
Acid Zzs,03/11/2021 07:10:22,makan tu pepek😆,5,12,1
Acid Zzs,03/22/2021 09:38:12,😴,1,20,0
Napil Napilja,03/30/2021 12:11:49,"Sabar ya, kita bisa lewatin ini semua kok.📌zonanyaman.idn",0,10,0
Napil Napilja,04/19/2021 14:50:04,Semoga bermanfaat.📌glowithmee_,0,4,0
Ğìñ,05/10/2021 03:44:10,Awokaw😆🤣,0,16,0
Napil Napilja,05/11/2021 02:59:51,"Mindset atau cara pandang yang berbeda,memberikan hasil yang berbeda pula.",0,12,0
Napil Napilja,05/21/2021 12:47:27,Jangan lupa baca Al-Qur'an sehabis sholat ya✨,0,11,0
Napil Napilja,05/26/2021 02:16:02,"Jadi,mari kita berbaik hati kepada orang lain.",0,9,0
엘리사,05/30/2021 03:56:42,https://chat.whatsapp.com/HapWvCXSJ18KBa0djXOPbKGabung kuyy.,0,9,0
Napil Napilja,07/06/2021 13:15:08,Tak mau pacaran.,0,5,0
AR,07/10/2021 05:10:30,"Breaking new   Tanggal 20 jangan keluar rumah,Seluruh indonesia banjir darah...😅",0,4,0
Mlfsyn,07/11/2021 11:47:16,MATI LO KONTOL,0,9,1
Napil Napilja,07/11/2021 11:47:23,Psikolog mengatakan.,0,5,0
Ikyy Gatng,07/31/2021 00:00:43,GROP SAMPAH KY ANJING,6,17,1
Napil Napilja,10/03/2021 14:01:53,Wkwkwk,0,6,0
Napil Napilja,10/03/2021 14:01:56,Gud etitud No 1😎,0,7,0
Napil Napilja,10/03/2021 14:02:09,Repost🙌,0,5,0
엘리사,09/10/2022 10:48:27,"Mari menyambut anggota baru kita:Dyna,Arlina Dewi,Umar Abay,Heyek Heyek,Dimas,Reza Reza,Lina Na,Den Allan,Krina Ahmd,Mom's Leonie,Arfento Afriansah,Ernyta Manting Pasande,Thy,Wahyu,Ravael,가방,Alan Juju Tzy,NiTa",1,1,0
Meel,04/24/2024 23:35:15,"Halo semuanya, saya baru bergabung dengan tim admin untuk grup ini. Saya senang bisa mengambil peran ini dan bekerja bersama Anda semua untuk membantu grup ini berkembang. Jangan ragu untuk berbagi ide atau mengajukan pertanyaan. Saya berharap bisa mengenal Anda semua lebih baik!",0,0,0
Sapar Anaugi,04/26/2024 09:37:28,"Halo semuanya, saya baru bergabung dengan tim admin untuk grup ini. Saya senang bisa mengambil peran ini dan bekerja bersama Anda semua untuk membantu grup ini berkembang. Jangan ragu untuk berbagi ide atau mengajukan pertanyaan. Saya berharap bisa mengenal Anda semua lebih baik!",0,0,0
Indah Cargo,12/29/2020 05:14:06,"Max Fist mengklaim bahwa dia adalah pahlawan dari dimensi lain yang entah bagaimana telah mendarat di Bumi dan kehilangan kekuatannya. Alih-alih memperlakukannya seperti Super Hero yang kuat, tidak ada yang percaya klaim Max - kecuali seorang remaja bernama Hamster dan saudara perempuannya Indigo. Kakak beradik itu meyakinkan Max untuk membantu mereka membasmi geng obat bius, di mana kemampuan Max diuji dengan kekerasan dan mengerikan.Genre           :  Action, Adventure, USA and MoreDirectors      : Adam Egypt MortimerActors          : Luis Kelly-Duarte, Skylan Brooks,      Zolee Griggs, Joe Manganiello, Paul Scheer                   ",1,1,0
Masbrayy,01/04/2021 12:07:43,BISANYA NGEBACOT DOANG JIR,0,13,1
Masky,01/04/2021 12:08:32,Bu Bu Cn Champions size m nominus minus minta dimandiin doang,1,1,0
Brahim Diaz,01/14/2021 13:36:12,https://youtu.be/qR8Jcqd1s20,0,1,0
Rio Setiawan,01/20/2021 10:19:26,"https://youtu.be/08ROTT-PuyM bantu subscribe and share channel Al fagir teman""",0,1,0
Indah Cargo,01/20/2021 10:20:24,"Boneka pahat kayu tua Geppetto, Pinocchio, secara ajaib menjadi hidup dengan mimpi menjadi anak laki-laki sejati. Dengan mudah tersesat, Pinokio jatuh dari satu kesialan ke kecelakaan lainnya saat ia ditipu, diculik, dan dikejar oleh bandit.",0,0,0
Brahim Diaz,01/20/2021 10:20:28,"BANTU LIKE,KOMENT,DAN SUBREK🙏🙏",0,0,0
Ute Woii,01/25/2021 04:52:47,https://youtu.be/joHUSuO9tKA,0,1,0
Ute Woii,01/27/2021 05:57:59,Suka wonder woman bukan karena hebatnya tapi pesonanya itu loooh hhhh😁😁Alur ceritanya bisa nonton di sinihttps://youtu.be/joHUSuO9tKA,0,0,0
